Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,ndvi
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2024,0.689155143
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2024,0.820560535
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2024,0.810829082
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2024,0.767757785
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2024,0.79393393
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2024,0.75149888
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2024,0.729735008
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2024,0.42364684
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2024,0.688914086
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2024,0.59236781
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2024,0.797364518
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2024,0.575244291
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2015,0.733954773
TABANAN,5102,BALI,115.0780151,-8.4293142,2015,0.73862832
BADUNG,5103,BALI,115.1883496,-8.5828534,2015,0.629179087
GIANYAR,5104,BALI,115.287581,-8.4806592,2015,0.689702542
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2015,0.660594441
BANGLI,5106,BALI,115.3467321,-8.2934637,2015,0.685728151
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2015,0.689538526
BULELENG,5108,BALI,114.9631008,-8.2006916,2015,0.711690116
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2015,0.46968618
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2016,0.755583645
TABANAN,5102,BALI,115.0780151,-8.4293142,2016,0.736154785
BADUNG,5103,BALI,115.1883496,-8.5828534,2016,0.643777497
GIANYAR,5104,BALI,115.287581,-8.4806592,2016,0.684128647
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2016,0.709892493
BANGLI,5106,BALI,115.3467321,-8.2934637,2016,0.665578016
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2016,0.695998225
BULELENG,5108,BALI,114.9631008,-8.2006916,2016,0.726791062
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2016,0.467221197
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2017,0.73778548
TABANAN,5102,BALI,115.0780151,-8.4293142,2017,0.717517683
BADUNG,5103,BALI,115.1883496,-8.5828534,2017,0.621654377
GIANYAR,5104,BALI,115.287581,-8.4806592,2017,0.676131417
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2017,0.669740231
BANGLI,5106,BALI,115.3467321,-8.2934637,2017,0.61355671
